Series_reference,Period,Data_value,STATUS,Group,Subject,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,UNITS,MAGNTUDE
GFSA.SGS01G02981,2024.06,414,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02981,2025.06,441,PROVISIONAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Current grants,,,,,Dollars,6
GFSA.SGS01G02982,2009.06,1807,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2010.06,1986,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2011.06,2094,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2012.06,2067,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2013.06,2203,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2014.06,2159,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2015.06,1956,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2016.06,1821,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2017.06,1969,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2018.06,2156,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2019.06,2304,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2020.06,2454,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2021.06,2364,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2022.06,2240,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2023.06,2580,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2024.06,2812,REVISED,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02982,2025.06,2518,PROVISIONAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other current transfers,,,,,Dollars,6
GFSA.SGS01G02991,2009.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2010.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2011.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2012.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2013.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2014.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2015.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2016.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2017.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2018.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2019.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2020.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2021.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2022.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2023.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2024.06,0,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02991,2025.06,0,PROVISIONAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Capital grants,,,,,Dollars,6
GFSA.SGS01G02992,2009.06,343,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SGS01G02992,2010.06,398,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SGS01G02992,2011.06,4429,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
GFSA.SGS01G02992,2012.06,561,FINAL,"General Government, Operating Statement, Operating Income",Government Financial Statistics - GFS,Other capital transfers,,,,,Dollars,6
