year,nzsioc,nzsioc_descriptor,nzsioc_descriptor2,variable,units,magnitude,source,data_value
2020,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,433496
2021,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,420.42
2021,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,420415.08
2022,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,443.99
2022,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,443991.74
2023,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,446.53
2023,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,446533.96
2024,AA211,Forestry and logging,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,546.93
2024,AA211,Forestry and logging,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,546930.68
2007,AA311,Aquaculture,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.02
2007,AA311,Aquaculture,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,2020.69
2008,AA311,Aquaculture,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,1.99
2008,AA311,Aquaculture,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,1988.43
2009,AA311,Aquaculture,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,6.36
2009,AA311,Aquaculture,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,6360.22
2010,AA311,Aquaculture,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,7.16
2010,AA311,Aquaculture,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,7157.33
2011,AA311,Aquaculture,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,7.71
2011,AA311,Aquaculture,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,7710.36
2012,AA311,Aquaculture,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,6.44
2012,AA311,Aquaculture,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,6443.12
2013,AA311,Aquaculture,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3.11
2013,AA311,Aquaculture,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,3112.05
2014,AA311,Aquaculture,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3.78
2014,AA311,Aquaculture,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,3778.38
2015,AA311,Aquaculture,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3.13
2015,AA311,Aquaculture,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,3131.76
2016,AA311,Aquaculture,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3.96
2016,AA311,Aquaculture,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,3964.43
2017,AA311,Aquaculture,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4.85
2017,AA311,Aquaculture,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,4851.25
2018,AA311,Aquaculture,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,4.17
2018,AA311,Aquaculture,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,4166.35
2019,AA311,Aquaculture,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,2.91
2019,AA311,Aquaculture,,Carbon dioxide equivalents,Tonnes,Carbon dioxide equivalents,Environmental accounts,2907.26
2020,AA311,Aquaculture,,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,Environmental accounts,3.32
